luma,sRGB,HLG
0.082458496,12764.0,12294.0
0.08428955,12996.0,12470.0
0.08618164,13235.0,12649.0
0.08807373,13470.0,12826.0
0.090026855,13712.0,13006.0
0.092041016,13961.0,13191.0
0.094055176,14206.0,13373.0
0.09613037,14453.0,13558.0
0.0982666,14711.0,13747.0
0.10046387,14971.0,13939.0
0.10266113,15227.0,14128.0
0.10498047,15495.0,14326.0
0.107299805,15769.0,14521.0
0.109680176,16038.0,14719.0
0.11206055,16308.0,14915.0
0.11456299,16594.0,15118.0
0.117126465,16880.0,15324.0
0.11968994,17168.0,15527.0
0.12237549,17462.0,15738.0
0.12512207,17763.0,15950.0
0.12780762,18052.0,16155.0
0.13061523,18354.0,16367.0
0.13354492,18668.0,16586.0
0.13647461,18975.0,16801.0
0.13952637,19294.0,17023.0
0.1427002,19628.0,17251.0
0.14575195,19940.0,17467.0
0.14904785,20278.0,17697.0
0.15234375,20615.0,17925.0
0.15576172,20961.0,18158.0
0.15917969,21300.0,18387.0
0.16271973,21657.0,18622.0
0.16625977,21998.0,18854.0
0.16992188,22361.0,19091.0
0.17370605,22726.0,19333.0
0.1776123,23103.0,19579.0
0.18151855,23472.0,19821.0
0.18554688,23851.0,20068.0
0.18969727,24236.0,20319.0
0.19384766,24611.0,20567.0
0.19812012,24994.0,20818.0
0.20251465,25374.0,21073.0
0.20703125,25768.0,21331.0
0.21154785,26151.0,21587.0
0.2163086,26547.0,21851.0
0.22106934,26939.0,22113.0
0.22595215,27335.0,22377.0
0.23095703,27728.0,22644.0
0.23608398,28130.0,22913.0
0.24133301,28528.0,23186.0
0.2467041,28934.0,23460.0
0.25219727,29341.0,23737.0
0.2578125,29744.0,24017.0
0.26342773,30148.0,24291.0
0.2692871,30552.0,24574.0
0.27514648,30957.0,24852.0
0.28125,31372.0,25138.0
0.28759766,31787.0,25431.0
0.2939453,32200.0,25720.0
0.3005371,32613.0,26015.0
0.3071289,33024.0,26306.0
0.31396484,33442.0,26603.0
0.32080078,33858.0,26896.0
0.32788086,34272.0,27194.0
0.33520508,34692.0,27499.0
0.34277344,35117.0,27809.0
0.3503418,35539.0,28113.0
0.35791016,35949.0,28413.0
0.3659668,36379.0,28728.0
0.37402344,36796.0,29037.0
0.38232422,37225.0,29352.0
0.39086914,37648.0,29669.0
0.39941406,38067.0,29983.0
0.40844727,38494.0,30309.0
0.41748047,38923.0,30629.0
0.42651367,39339.0,30946.0
0.43603516,39757.0,31273.0
0.44580078,40187.0,31603.0
0.4555664,40617.0,31928.0
0.4658203,41045.0,32264.0
0.47607422,41462.0,32594.0
0.48657227,41889.0,32926.0
0.49731445,42314.0,33255.0
0.5083008,42737.0,33580.0
0.51953125,43157.0,33901.0
0.53125,43580.0,34225.0
0.54296875,43987.0,34538.0
0.5546875,44387.0,34841.0
0.5673828,44805.0,35158.0
0.57958984,45190.0,35453.0
0.59277344,45599.0,35761.0
0.60595703,45984.0,36060.0
0.6191406,46360.0,36348.0
0.6328125,46735.0,36637.0
0.64697266,47107.0,36928.0
0.6611328,47471.0,37209.0
0.67578125,47837.0,37491.0
0.69091797,48193.0,37772.0
0.7060547,48534.0,38045.0
0.7216797,48871.0,38318.0
0.73779297,49213.0,38591.0
0.75439453,49549.0,38862.0
0.7709961,49861.0,39126.0
0.78808594,50186.0,39390.0
0.8051758,50487.0,39644.0
0.8232422,50790.0,39905.0
0.8413086,51086.0,40158.0
0.86035156,51383.0,40417.0
0.87939453,51665.0,40668.0
0.8984375,51933.0,40910.0
0.91845703,52202.0,41158.0
0.93896484,52472.0,41404.0
0.95947266,52731.0,41642.0
0.98095703,52992.0,41885.0
1.0029297,53247.0,42125.0
1.0253906,53497.0,42363.0
1.0478516,53742.0,42594.0
1.0712891,53986.0,42827.0
1.0947266,54221.0,43054.0
1.1191406,54459.0,43283.0
1.1435547,54683.0,43505.0
1.1689453,54910.0,43729.0
1.1943359,55131.0,43947.0
1.2216797,55357.0,44174.0
1.2480469,55560.0,44386.0
1.2763672,55774.0,44608.0
1.3046875,55985.0,44822.0
1.3330078,56181.0,45031.0
1.3623047,56375.0,45240.0
1.3925781,56571.0,45449.0
1.4238281,56764.0,45659.0
1.4550781,56942.0,45863.0
1.4873047,57123.0,46067.0
1.5205078,57305.0,46270.0
1.5537109,57473.0,46468.0
1.5888672,57647.0,46671.0
1.6240234,57808.0,46868.0
1.6601562,57969.0,47064.0
1.6962891,58123.0,47255.0
1.734375,58278.0,47450.0
1.7724609,58427.0,47639.0
1.8115234,58578.0,47828.0
1.8515625,58723.0,48016.0
1.8925781,58869.0,48203.0
1.9345703,59013.0,48389.0
1.9775391,59154.0,48573.0
2.0214844,59292.0,48757.0
2.0664062,59428.0,48939.0
2.1113281,59564.0,49116.0
2.1582031,59695.0,49295.0
2.2070312,59830.0,49476.0
2.2558594,59956.0,49653.0
2.3046875,60081.0,49824.0
2.3574219,60206.0,50002.0
2.4082031,60326.0,50170.0
2.4628906,60449.0,50346.0
2.5175781,60567.0,50516.0
2.5722656,60681.0,50682.0
2.6289062,60794.0,50848.0
2.6875,60905.0,51015.0
2.7480469,61016.0,51182.0
2.8085938,61122.0,51345.0
2.8710938,61230.0,51508.0
2.9335938,61330.0,51667.0
2.9980469,61432.0,51826.0
3.0644531,61530.0,51984.0
3.1328125,61629.0,52143.0
3.203125,61724.0,52301.0
3.2734375,61818.0,52455.0
3.3457031,61910.0,52608.0
3.4199219,61998.0,52761.0
3.4960938,62088.0,52914.0
3.5742188,62177.0,53066.0
3.6523438,62262.0,53213.0
3.734375,62346.0,53363.0
3.8164062,62431.0,53509.0
3.9003906,62513.0,53654.0
3.9863281,62592.0,53797.0
4.0742188,62671.0,53940.0
4.1640625,62748.0,54082.0
4.2578125,62828.0,54225.0
4.3515625,62902.0,54364.0
4.4492188,62976.0,54505.0
4.546875,63050.0,54642.0
4.6484375,63121.0,54780.0
4.75,63190.0,54913.0
4.8554688,63261.0,55048.0
4.9648438,63329.0,55183.0
5.0742188,63395.0,55315.0
5.1875,63461.0,55447.0
5.3007812,63524.0,55575.0
5.4179688,63587.0,55703.0
5.5390625,63649.0,55833.0
5.6601562,63709.0,55957.0
5.7851562,63769.0,56083.0
5.9140625,63826.0,56208.0
6.046875,63884.0,56333.0
6.1796875,63939.0,56454.0
6.3164062,63994.0,56575.0
6.4570312,64048.0,56695.0
6.6015625,64100.0,56815.0
6.7460938,64151.0,56932.0
6.8945312,64200.0,57048.0
7.046875,64248.0,57164.0
7.203125,64297.0,57279.0
7.3632812,64344.0,57393.0
7.5273438,64391.0,57505.0
7.6953125,64436.0,57618.0
7.8632812,64481.0,57726.0
8.0390625,64525.0,57837.0
8.21875,64567.0,57946.0
8.3984375,64610.0,58051.0
8.5859375,64651.0,58158.0
8.7734375,64691.0,58262.0
8.96875,64731.0,58366.0
9.171875,64771.0,58472.0
9.375,64810.0,58573.0
9.578125,64845.0,58672.0
9.7890625,64883.0,58771.0
10.0078125,64919.0,58870.0
10.2265625,64954.0,58967.0
10.453125,64989.0,59063.0
10.6875,65022.0,59160.0
10.921875,65054.0,59254.0
11.1640625,65087.0,59347.0
11.4140625,65119.0,59441.0
11.6640625,65150.0,59531.0
11.921875,65180.0,59621.0
12.1875,65209.0,59711.0
12.4609375,65239.0,59800.0
12.734375,65266.0,59887.0
13.015625,65293.0,59972.0
13.3046875,65320.0,60058.0
13.6015625,65346.0,60143.0
13.90625,65372.0,60226.0
14.2109375,65396.0,60308.0
14.5234375,65419.0,60388.0
14.84375,65443.0,60467.0
15.1796875,65466.0,60547.0
15.515625,65488.0,60626.0
15.859375,65509.0,60702.0
16.203125,65530.0,60777.0
16.5625,65535.0,60851.0
16.9375,65535.0,60926.0
17.3125,65535.0,60999.0
17.6875,65535.0,61070.0
18.078125,65535.0,61140.0
18.484375,65535.0,61210.0
18.890625,65535.0,61279.0
19.3125,65535.0,61346.0
19.734375,65535.0,61412.0
20.171875,65535.0,61478.0
20.625,65535.0,61543.0
21.078125,65535.0,61606.0
21.546875,65535.0,61669.0
22.03125,65535.0,61731.0
22.515625,65535.0,61792.0
23.015625,65535.0,61851.0
23.515625,65535.0,61908.0
24.046875,65535.0,61967.0
24.578125,65535.0,62023.0
25.125,65535.0,62078.0
25.671875,65535.0,62132.0
26.25,65535.0,62186.0
26.828125,65535.0,62238.0
27.421875,65535.0,62289.0
28.03125,65535.0,62340.0
28.65625,65535.0,62389.0
29.28125,65535.0,62437.0
29.9375,65535.0,62484.0
30.59375,65535.0,62530.0
31.28125,65535.0,62576.0
31.96875,65535.0,62619.0
32.6875,65535.0,62664.0
33.40625,65535.0,62705.0
34.125,65535.0,62745.0
34.90625,65535.0,62787.0
35.65625,65535.0,62827.0
36.46875,65535.0,62867.0
37.28125,65535.0,62907.0
38.09375,65535.0,62946.0
38.9375,65535.0,62985.0
39.8125,65535.0,63025.0
40.6875,65535.0,63063.0
41.59375,65535.0,63102.0
42.5,65535.0,63138.0
43.4375,65535.0,63176.0
44.40625,65535.0,63213.0
45.375,65535.0,63250.0
46.40625,65535.0,63288.0
47.4375,65535.0,63324.0
48.46875,65535.0,63359.0
